Category_Type,Original_English,Translated_Korean
대분류,Clothing,의류
대분류,Arts,기예
대분류,Gift Cards,기프트 카드
대분류,Patio,안마당
대분류,Power & Hand Tools,전동 및 수공구
대분류,Movies & TV,영화 및 TV
대분류,Medical Supplies & Equipment,의료용품 및 장비
대분류,Collectibles & Fine Art,수집품 및 미술품
대분류,Small Appliance Parts & Accessories,소형 가전 부품 및 액세서리
대분류,Shoe,구두
대분류,Car & Vehicle Electronics,자동차 및 차량 전자 장치
대분류,Software,소프트웨어
대분류,Safety & Security,안전 및 보안
대분류,Grills & Outdoor Cooking,그릴 및 야외 요리
대분류,Returns,보고
대분류,Outdoor Power Tools,야외 전동 공구
대분류,Power Tool Parts & Accessories,전동 공구 부품 및 액세서리
대분류,Stores,백화점
대분류,Motorcycle & Powersports,오토바이 및 파워스포츠
대분류,Restaurant Appliances & Equipment,레스토랑 가전제품 및 장비
대분류,Amazon Devices & Accessories,아마존 기기 및 액세서리
대분류,Remote & App Controlled Vehicles & Parts,원격 및 앱으로 제어되는 차량 및 부품
대분류,Remote & App Controlled Vehicle Parts,원격 및 앱 제어 차량 부품
대분류,Dining & Entertaining,식사 및 오락
대분류,Lights,허파
대분류,Office Electronics,사무용 전자제품
대분류,Instrument Accessories,악기 액세서리
대분류,Food Service Equipment & Supplies,식품 서비스 장비 및 소모품
대분류,Lab & Scientific Products,실험실 및 과학 제품
대분류,Pantry Staples,식료품 저장실 스테이플
대분류,Purchase Circles,구매 서클
대분류,Janitorial & Sanitation Supplies,청소 및 위생용품
대분류,Heavy Duty & Commercial Vehicle Equipment,중장비 및 상업용 차량 장비
중분류,Headphones,헤드폰
중분류,Shoes & Jewelry,신발 및 보석
중분류,Sexual Wellness,성적 웰빙
중분류,Cases,사례
중분류,Crafts & Sewing,공예 및 봉제
중분류,Oral Care,구강 관리
중분류,Gift Cards,기프트 카드
중분류,SIM Cards & Prepaid Minutes,SIM 카드 및 선불 통화 시간
중분류,Dairy,낙농
중분류,Snacks & Sweets,스낵 및 과자
중분류,Heating,난방
중분류,Online Game Services,온라인 게임 서비스
중분류,Office Electronics,사무용 전자제품
중분류,Electronic Protection Plans,전자 보호 계획
중분류,Cell Phones,휴대폰
중분류,Frozen,언
중분류,Meat & Seafood,고기 및 해산물
중분류,Vitamins,비타민
중분류,Birds,조류
중분류,Skin Care,스킨 케어
중분류,Test Preparation,시험 준비
중분류,Tools & Accessories,도구 및 액세서리
중분류,Small Animals,작은 동물
중분류,Makeup,조립
중분류,Lawn & Garden,잔디 및 정원
중분류,Politics & Social Sciences,정치 및 사회 과학
중분류,Crafts,공예
중분류,Stuffed Animals & Plush Toys,박제 동물 및 봉제 인형
중분류,Vision,비전
중분류,Personal Care,개인 관리
중분류,Breads & Bakery,빵 & 베이커리
중분류,Self-Help,자조
중분류,Games & Accessories,게임 및 액세서리
중분류,Foot,발
중분류,Home Audio,홈 오디오
중분류,Irons & Steamers,다리미 및 스티머
중분류,Fasteners,패스너
중분류,Adhesives,접착제
중분류,Stationery & Gift Wrapping Supplies,문구류 및 선물 포장 용품
중분류,Electrical,전기 같은
중분류,Lighting & Ceiling Fans,조명 및 천장 선풍기
중분류,Light Bulbs,전구
중분류,Produce,생산하다
중분류,Kitchen & Bath Fixtures,주방 및 욕실 비품
중분류,Nursery,양식장
중분류,Accessories & Supplies,액세서리 및 소모품
중분류,Janitorial & Sanitation Supplies,청소 및 위생용품
중분류,Fish & Aquatic Pets,물고기 및 수생 애완동물
중분류,Hardware,하드웨어
중분류,Diapering,기저귀 갈기
중분류,Health,건강
중분류,Paint,페인트
중분류,Arts & Crafts,예술 및 공예
중분류,PC,PC
중분류,Breakfast Cereal,아침 시리얼
중분류,Diet & Sports Nutrition,다이어트 및 스포츠 영양
중분류,Wellness & Relaxation,웰니스 & 휴식
중분류,Cookbooks,요리책
중분류,Reptiles & Amphibians,파충류 및 양서류
중분류,Occupational Health & Safety Products,산업 보건 및 안전 제품
중분류,Wall Art,벽 예술
중분류,Novelty & Gag Toys,참신함 및 개그 장난감
중분류,Fresh Flowers & Live Indoor Plants,신선한 꽃과 실내 식물
중분류,Puzzles,퍼즐
중분류,Power Tool Parts & Accessories,전동 공구 부품 및 액세서리
중분류,Exercise & Fitness,운동 및 피트니스
중분류,Fragrance,향기
중분류,Virtual Reality,가상 현실
중분류,Industrial Hardware,산업용 하드웨어
중분류,Mystery,신비
중분류,"""Children's Books""",아동 도서
중분류,Microphones & Accessories,마이크 및 액세서리
중분류,Interior Accessories,인테리어 소품
중분류,Professional Medical Supplies,전문 의료 용품
중분류,Storage & Home Organization,보관 및 집 정리
중분류,Portable Audio & Video,휴대용 오디오 및 비디오
중분류,Security & Surveillance,보안 및 감시
중분류,Lights,허파
중분류,Featured Categories,주요 카테고리
중분류,Additive Manufacturing Products,적층 제조 제품
중분류,Parts & Accessories,부품 및 액세서리
중분류,Pop,팝
중분류,Mobility & Daily Living Aids,이동성 및 일상생활 보조기구
중분류,Travel Gear,여행 장비
중분류,Car Seats & Accessories,자동차 좌석 및 액세서리
중분류,Remote & App Controlled Vehicles & Parts,원격 및 앱으로 제어되는 차량 및 부품
중분류,Vehicles,차량
중분류,Sports & Outdoors,스포츠 및 야외 활동
중분류,Fan Shop,팬샵
중분류,Household Batteries,가정용 배터리
중분류,Sports & Outdoor Play,스포츠 및 야외 놀이
중분류,Welding & Soldering,용접 및 납땜
중분류,"""Kids' Electronics""",어린이 전자제품
중분류,Entertainment,오락
중분류,Baby & Toddler Toys,영유아 장난감
중분류,Dolls & Accessories,인형 및 액세서리
중분류,Dress Up & Pretend Play,옷입히기 및 역할놀이
중분류,Puppets & Puppet Theaters,인형 & 인형극장
중분류,Education & Teaching,교육 및 교육
중분류,Event & Party Supplies,이벤트 및 파티용품
중분류,Gifts,선물
중분류,Feeding,급송
중분류,Activity & Entertainment,활동 및 엔터테인먼트
중분류,Toy Figures & Playsets,장난감 피규어 및 플레이 세트
중분류,Material Handling Products,자재 취급 제품
중분류,PlayStation 5,플레이스테이션 5
중분류,Car & Vehicle Electronics,자동차 및 차량 전자 장치
중분류,Tires & Wheels,타이어 및 휠
중분류,Pregnancy & Maternity,임신 및 출산
중분류,Lab & Scientific Products,실험실 및 과학 제품
중분류,Salon & Spa Equipment,살롱 및 스파 장비
중분류,Test,시험
중분류,Parenting & Relationships,육아 및 인간관계
중분류,eBook Readers & Accessories,eBook 리더 및 액세서리
중분류,Safety,안전
중분류,Small Appliance Parts & Accessories,소형 가전 부품 및 액세서리
중분류,Coffee & Espresso Machine Parts & Accessories,커피 및 에스프레소 머신 부품/액세서리
중분류,Jewelry & Watch Accessories,주얼리 및 시계 액세서리
중분류,Building Toys,빌딩 장난감
중분류,Jazz,재즈
중분류,Country,국가
중분류,Measuring & Layout Tools,측정 및 레이아웃 도구
중분류,Romance,로맨스
중분류,Oils & Fluids,오일 및 유체
중분류,Food Service Equipment & Supplies,식품 서비스 장비 및 용품
중분류,Party Supplies,파티용품
중분류,Power Accessories,전원 액세서리
중분류,Rap & Hip-Hop,랩 & 힙합
중분류,Industrial Electrical,산업용 전기
중분류,Home DÃ©cor Products,홈 데코 제품
중분류,Bathroom Safety,욕실 안전
중분류,Vehicle Electronics Accessories,차량 전자 장치 액세서리
중분류,Breakfast Foods,아침 식사 음식
중분류,Wind & Woodwind Instruments,관악기 및 목관악기
중분류,Service Plans,서비스 계획
중분류,Operating Systems,운영 체제
중분류,GPS,GPS
중분류,Paint & Paint Supplies,페인트 및 페인트 용품
중분류,Field,필드
중분류,Ukuleles,우쿨렐레
중분류,Professional Dental Supplies,전문 치과 용품
중분류,Laundry Appliances,세탁용품
중분류,Home Brewing & Winemaking,가정 양조 및 포도주 양조
중분류,Potty Training,배변 훈련
중분류,Hydraulics,유압장치
중분류,R&B,알앤비
중분류,International Music,국제 음악
중분류,Rock,바위
중분류,Blues,블루스
중분류,Classic Rock,클래식 록
중분류,Dance & Electronic,댄스 및 일렉트로닉
중분류,Movies,영화 산업
중분류,Folk,사람들
중분류,Indie & Alternative,인디 및 얼터너티브
중분류,Personal Protective Equipment,개인 보호 장비
중분류,Baby & Child Care,아기 및 보육
중분류,Tricycles,세발자전거
중분류,Keyboards & MIDI,키보드 및 미디
중분류,Outdoor Cooking Tools & Accessories,야외 요리 도구 및 액세서리
중분류,"""Kids' Home Store""",키즈 홈 스토어
중분류,Seasonal DÃ©cor,계절 장식
중분류,Product Specific Policies,제품별 정책
중분류,"""Children's Music""",어린이 음악
중분류,Business & Office,비즈니스 및 사무실
중분류,Clothing,의류
중분류,Abrasive & Finishing Products,연마재 및 마감 제품
중분류,Soundtracks,사운드트랙
중분류,Science Education,과학교육
중분류,Replacement Parts & Accessories,교체 부품 및 액세서리
중분류,Power Finishing Tool Parts & Accessories,전원 마무리 도구 부품 및 액세서리
중분류,Microsoft,마이크로소프트
중분류,Xbox Series X & S,Xbox 시리즈 X 및 S
중분류,Alcoholic Beverages,알코올 음료
중분류,Handheld Game Systems,휴대용 게임 시스템
중분류,Sports Medicine,스포츠의학
중분류,Guitars,기타
중분류,Filtration,여과법
중분류,Strollers & Accessories,유모차 및 액세서리
중분류,Parts,부분품
중분류,Video Projectors,비디오 프로젝터
중분류,Electronic Music,전자 음악
중분류,New Age,뉴에이지
중분류,Performance Parts & Accessories,성능 부품 및 액세서리
중분류,Holiday & Wedding,휴일 및 결혼식
중분류,Calendars,달력
중분류,Mac,스코틀랜드 사람
중분류,Drums & Percussion,드럼 및 타악기
중분류,Video,동영상
중분류,Memorabilia Display & Storage,기념품 전시 및 보관
중분류,LGBTQ+ Books,LGBTQ+ 도서
중분류,Metal,금속
중분류,Retail Store Fixtures & Equipment,소매점 비품 및 장비
중분류,Band & Orchestra,밴드 & 오케스트라
중분류,Reggae,레게
중분류,Headlight Assemblies,헤드라이트 어셈블리
중분류,Children & Teen,어린이 및 청소년
중분류,Fresh Meal Kits,신선한 식사 키트
중분류,Refrigerators,냉장고
중분류,Cutting Tools,절단 도구
중분류,Home D?cor Products,홈 장식 제품
중분류,Amplifiers & Effects,앰프 및 효과
중분류,Commercial Food Preparation Equipment,상업용 식품 준비 장비
중분류,Law,법
중분류,Special Interest,특별 관심 분야
중분류,TV,TV
중분류,Digital Signage,디지털 사이니지
중분류,Education & Reference,교육 및 참고자료
중분류,Cell Phones & Accessories,휴대폰 및 액세서리
중분류,Broadway & Vocalists,브로드웨이 & 보컬리스트
중분류,Seasonal D?cor,계절 장식
중분류,Dishwashers,식기세척기
중분류,Stringed Instruments,현악기
중분류,Amazon Device Accessories,아마존 기기 액세서리
중분류,Ranges,범위
중분류,Remote & App Controlled Vehicle Parts,원격 및 앱 제어 차량 부품
중분류,Power Plant & Driveline Systems,발전소 및 동력전달장치 시스템
중분류,Dinnerware & Serveware,식기류 및 서빙류
중분류,Literary,문호
중분류,Baby Stationery,아기 문구류
중분류,Tax Preparation,세금 준비
중분류,Bulbs & Indicators,전구 및 표시기
중분류,Science,과학
중분류,Cooking,요리
